Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |           |          |              |            |      
   ├── features                     |               |           |                |           |           |          |              |            |      
   │  ├── 0                         |               |           |                |           |           |          |              |            |      
   │  │  ├── 0                      | 659.300us     | 2.587ms   | 0.000ns        | 0.000ns   | 30.62 Mb  | 0 b      | 86.70MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 237.000us     | 689.983us | 0.000ns        | 0.000ns   | 30.63 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 151.200us     | 151.200us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 607.200us     | 2.398ms   | 0.000ns        | 0.000ns   | 30.62 Mb  | 0 b      | 28.90MFLOPs  | 144.00     | 1    
   │  │  │  │  ├── 1                | 197.700us     | 582.167us | 0.000ns        | 0.000ns   | 30.63 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 182.300us     | 349.300us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.363ms       | 5.417ms   | 0.000ns        | 0.000ns   | 30.62 Mb  | 0 b      | 51.38MFLOPs  | 256.00     | 1    
   │  │  │  │  └── 1                | 163.900us     | 477.000us | 0.000ns        | 0.000ns   | 30.63 Mb  | 0 b      | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |           |          |              |            |      
   │  │  └── block                  |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 2.426ms       | 9.742ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 205.52MFLOPs | 1.02K      | 1    
   │  │  │  │  ├── 1                | 850.800us     | 2.542ms   | 0.000ns        | 0.000ns   | 122.50 Mb | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 333.700us     | 656.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |           |          |              |            |      
   │  │  │  │  ├── 0                | 1.836ms       | 7.303ms   | 0.000ns        | 0.000ns   | 30.62 Mb  | 0 b      | 28.90MFLOPs  | 576.00     | 1    
   │  │  │  │  ├── 1                | 227.100us     | 673.583us | 0.000ns        | 0.000ns   | 30.63 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 145.900us     | 279.800us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |           |          |              |            |      
