Module                              | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------------------|---------------|-----------|----------------|-----------|---------|-----------|--------------|------------|------
MobileNetV3                         |               |           |                |           |         |           |              |            |      
   ├── features                     |               |           |                |           |         |           |              |            |      
   │  ├── 0                         |               |           |                |           |         |           |              |            |      
   │  │  ├── 0                      | 1.097ms       | 5.255ms   | 33.408us       | 111.360us | 0 b     | 3.06 Mb   | 10.84MFLOPs  | 432.00     | 1    
   │  │  ├── 1                      | 1.002ms       | 3.910ms   | 26.496us       | 70.656us  | 0 b     | 3.83 Mb   | 0 FLOPs      | 32.00      | 1    
   │  │  └── 2                      | 861.100us     | 1.687ms   | 8.256us        | 11.008us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  ├── 1                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.258ms       | 6.167ms   | 37.344us       | 124.480us | 0 b     | 3.83 Mb   | 3.61MFLOPs   | 144.00     | 1    
   │  │  │  │  ├── 1                | 1.187ms       | 4.678ms   | 25.632us       | 68.352us  | 0 b     | 3.83 Mb   | 0 FLOPs      | 32.00      | 1    
   │  │  │  │  └── 2                | 1.067ms       | 3.128ms   | 7.968us        | 15.936us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.097ms       | 5.367ms   | 25.152us       | 83.840us  | 0 b     | 3.06 Mb   | 6.42MFLOPs   | 256.00     | 1    
   │  │  │  │  └── 1                | 1.069ms       | 4.205ms   | 26.592us       | 70.912us  | 0 b     | 3.83 Mb   | 0 FLOPs      | 32.00      | 1    
   │  ├── 2                         |               |           |                |           |         |           |              |            |      
   │  │  └── block                  |               |           |                |           |         |           |              |            |      
   │  │  │  ├── 0                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 1.090ms       | 5.323ms   | 37.152us       | 123.840us | 0 b     | 12.25 Mb  | 25.69MFLOPs  | 1.02K      | 1    
   │  │  │  │  ├── 1                | 1.126ms       | 4.431ms   | 27.360us       | 72.960us  | 0 b     | 15.31 Mb  | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.068ms       | 3.150ms   | 18.912us       | 37.824us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  ├── 1                   |               |           |                |           |         |           |              |            |      
   │  │  │  │  ├── 0                | 987.800us     | 4.850ms   | 37.728us       | 125.760us | 0 b     | 3.83 Mb   | 3.61MFLOPs   | 576.00     | 1    
   │  │  │  │  ├── 1                | 1.085ms       | 4.277ms   | 11.424us       | 30.464us  | 0 b     | 3.83 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  │  │  └── 2                | 1.032ms       | 3.053ms   | 7.584us        | 15.168us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   │  │  │  └── 2                   |               |           |                |           |         |           |              |            |      
