Module                  | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem   | CUDA Mem | FLOPs        | Parameters | Calls
------------------------|---------------|-----------|----------------|-----------|-----------|----------|--------------|------------|------
ResNet                  |               |           |                |           |           |          |              |            |      
   ├── conv1            | 1.469ms       | 5.836ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 616.56MFLOPs | 9.41K      | 1    
   ├── bn1              | 308.600us     | 927.733us | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   ├── relu             | 344.200us     | 679.100us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 1    
   ├── maxpool          | 2.193ms       | 4.375ms   | 0.000ns        | 0.000ns   | 8.00 Mb   | 0 b      | 0 FLOPs      | 0          | 1    
   ├── layer1           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.074ms       | 4.266ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 67.11MFLOPs  | 4.10K      | 1    
   │  │  ├── bn1        | 146.600us     | 427.950us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.421ms       | 5.658ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 603.98MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 236.200us     | 708.433us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 909.500us     | 3.616ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 237.900us     | 703.300us | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── relu       | 556.500us     | 1.083ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0       | 1.112ms       | 4.419ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  │  └── 1       | 213.200us     | 626.150us | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 889.400us     | 3.530ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  ├── bn1        | 141.100us     | 412.783us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.581ms       | 6.300ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 603.98MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 341.300us     | 1.013ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.123ms       | 4.470ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 361.800us     | 1.084ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 390.200us     | 759.800us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.105ms       | 4.395ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  ├── bn1        | 422.700us     | 1.259ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.474ms       | 5.871ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 603.98MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 122.800us     | 356.133us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.332ms       | 5.323ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 268.44MFLOPs | 16.38K     | 1    
   │  │  ├── bn3        | 366.300us     | 1.088ms   | 0.000ns        | 0.000ns   | 40.00 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 842.700us     | 1.662ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── layer2           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.385ms       | 5.511ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 536.87MFLOPs | 32.77K     | 1    
   │  │  ├── bn1        | 175.900us     | 514.883us | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.916ms       | 7.641ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 603.98MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 141.900us     | 409.533us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 947.500us     | 3.768ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 265.000us     | 784.700us | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── relu       | 566.800us     | 1.111ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |           |                |           |           |          |              |            |      
   │  │  │  ├── 0       | 1.210ms       | 4.818ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 536.87MFLOPs | 131.07K    | 1    
   │  │  │  └── 1       | 265.400us     | 785.117us | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  ├── 1             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 858.300us     | 3.406ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 150.200us     | 436.333us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.579ms       | 6.292ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 603.98MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 119.600us     | 345.183us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 890.400us     | 3.538ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 290.200us     | 860.017us | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 446.400us     | 872.200us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 867.400us     | 3.448ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 123.600us     | 361.600us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.009ms       | 4.016ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 603.98MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 282.800us     | 839.700us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.354ms       | 5.396ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 343.100us     | 1.022ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 474.300us     | 928.400us | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   │  └── 3             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 877.500us     | 3.482ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn1        | 409.200us     | 1.223ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.141ms       | 4.540ms   | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 603.98MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 117.400us     | 341.583us | 0.000ns        | 0.000ns   | 5.00 Mb   | 0 b      | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.346ms       | 5.362ms   | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 268.44MFLOPs | 65.54K     | 1    
   │  │  ├── bn3        | 263.000us     | 780.083us | 0.000ns        | 0.000ns   | 20.00 Mb  | 0 b      | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 1.054ms       | 2.090ms   | 0.000ns        | 0.000ns   | 0 b       | 0 b      | 0 FLOPs      | 0          | 3    
   ├── layer3           |               |           |                |           |           |          |              |            |      
   │  ├── 0             |               |           |                |           |           |          |              |            |      
   │  │  ├── conv1      | 1.406ms       | 5.597ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 536.87MFLOPs | 131.07K    | 1    
   │  │  ├── bn1        | 130.500us     | 383.533us | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 2.048ms       | 8.166ms   | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 603.98MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 256.700us     | 756.767us | 0.000ns        | 0.000ns   | 2.50 Mb   | 0 b      | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 959.800us     | 3.815ms   | 0.000ns        | 0.000ns   | 10.00 Mb  | 0 b      | 268.44MFLOPs | 262.14K    | 1    
   │  │  ├── bn3        | 497.500us     | 1.483ms   | 0.000ns        | 0.000ns   | 10.01 Mb  | 0 b      | 0 FLOPs      | 2.05K      | 1    
