Module                  | Self CPU time | CPU time | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs        | Parameters | Calls
------------------------|---------------|----------|----------------|-----------|---------|-----------|--------------|------------|------
ResNet                  |               |          |                |           |         |           |              |            |      
   ├── conv1            | 1.065ms       | 5.088ms  | 119.139us      | 397.130us | 0 b     | 10.00 Mb  | 154.14MFLOPs | 9.41K      | 1    
   ├── bn1              | 1.090ms       | 4.204ms  | 23.331us       | 62.216us  | 0 b     | 15.00 Mb  | 0 FLOPs      | 128.00     | 1    
   ├── relu             | 961.000us     | 2.795ms  | 13.728us       | 27.456us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 1    
   ├── maxpool          | 1.340ms       | 3.946ms  | 28.128us       | 56.256us  | 0 b     | 2.00 Mb   | 0 FLOPs      | 0          | 1    
   ├── layer1           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.233ms       | 5.997ms  | 15.651us       | 52.170us  | 0 b     | 2.00 Mb   | 16.78MFLOPs  | 4.10K      | 1    
   │  │  ├── bn1        | 1.161ms       | 4.569ms  | 9.600us        | 25.600us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.169ms       | 5.534ms  | 77.469us       | 254.838us | 0 b     | 2.00 Mb   | 150.99MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 1.151ms       | 4.522ms  | 9.600us        | 25.600us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.105ms       | 5.390ms  | 27.456us       | 91.520us  | 0 b     | 10.00 Mb  | 67.11MFLOPs  | 16.38K     | 1    
   │  │  ├── bn3        | 1.111ms       | 4.374ms  | 20.256us       | 54.016us  | 0 b     | 15.00 Mb  | 0 FLOPs      | 512.00     | 1    
   │  │  ├── relu       | 3.246ms       | 9.572ms  | 26.208us       | 52.416us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 1.078ms       | 5.283ms  | 27.744us       | 92.480us  | 0 b     | 10.00 Mb  | 67.11MFLOPs  | 16.38K     | 1    
   │  │  │  └── 1       | 1.019ms       | 4.014ms  | 20.256us       | 54.016us  | 0 b     | 15.00 Mb  | 0 FLOPs      | 512.00     | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.077ms       | 5.273ms  | 28.893us       | 96.310us  | 0 b     | 2.00 Mb   | 67.11MFLOPs  | 16.38K     | 1    
   │  │  ├── bn1        | 1.070ms       | 4.219ms  | 9.885us        | 26.360us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.056ms       | 5.030ms  | 74.211us       | 243.994us | 0 b     | 2.00 Mb   | 150.99MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 1.102ms       | 4.345ms  | 9.600us        | 25.600us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.022ms       | 4.998ms  | 26.976us       | 89.920us  | 0 b     | 10.00 Mb  | 67.11MFLOPs  | 16.38K     | 1    
   │  │  ├── bn3        | 1.138ms       | 4.492ms  | 20.352us       | 54.272us  | 0 b     | 15.00 Mb  | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.089ms       | 9.131ms  | 25.923us       | 51.846us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.113ms       | 5.427ms  | 29.376us       | 97.920us  | 0 b     | 2.00 Mb   | 67.11MFLOPs  | 16.38K     | 1    
   │  │  ├── bn1        | 1.269ms       | 4.997ms  | 9.600us        | 25.600us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv2      | 1.127ms       | 5.366ms  | 80.451us       | 264.682us | 0 b     | 2.00 Mb   | 150.99MFLOPs | 36.86K     | 1    
   │  │  ├── bn2        | 1.169ms       | 4.587ms  | 9.792us        | 26.112us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 128.00     | 1    
   │  │  ├── conv3      | 1.116ms       | 5.422ms  | 27.552us       | 91.840us  | 0 b     | 10.00 Mb  | 67.11MFLOPs  | 16.38K     | 1    
   │  │  ├── bn3        | 1.079ms       | 4.245ms  | 20.352us       | 54.272us  | 0 b     | 15.00 Mb  | 0 FLOPs      | 512.00     | 1    
   │  │  └── relu       | 3.140ms       | 9.263ms  | 25.824us       | 51.648us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer2           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.025ms       | 4.930ms  | 96.963us       | 323.210us | 0 b     | 4.00 Mb   | 134.22MFLOPs | 32.77K     | 1    
   │  │  ├── bn1        | 1.050ms       | 4.136ms  | 13.053us       | 34.808us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.145ms       | 5.457ms  | 89.856us       | 294.320us | 0 b     | 1.00 Mb   | 150.99MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 1.087ms       | 4.286ms  | 8.448us        | 22.528us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.068ms       | 5.200ms  | 64.989us       | 216.630us | 0 b     | 4.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn3        | 1.074ms       | 4.230ms  | 19.869us       | 52.984us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  │  ├── relu       | 3.109ms       | 9.175ms  | 23.232us       | 46.464us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  │  └── downsample |               |          |                |           |         |           |              |            |      
   │  │  │  ├── 0       | 996.700us     | 4.793ms  | 104.454us      | 348.180us | 0 b     | 4.00 Mb   | 134.22MFLOPs | 131.07K    | 1    
   │  │  │  └── 1       | 1.015ms       | 3.997ms  | 19.584us       | 52.224us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  ├── 1             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.145ms       | 5.495ms  | 98.877us       | 329.590us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn1        | 1.135ms       | 4.475ms  | 8.448us        | 22.528us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.102ms       | 5.254ms  | 95.901us       | 315.190us | 0 b     | 1.00 Mb   | 150.99MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 1.087ms       | 4.240ms  | 9.120us        | 24.320us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.080ms       | 5.287ms  | 63.744us       | 212.480us | 0 b     | 4.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn3        | 1.075ms       | 4.238ms  | 19.200us       | 51.200us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.036ms       | 8.972ms  | 19.680us       | 39.360us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  ├── 2             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.052ms       | 5.072ms  | 97.827us       | 326.090us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn1        | 1.035ms       | 4.074ms  | 8.643us        | 23.048us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.165ms       | 5.577ms  | 125.280us      | 413.040us | 0 b     | 1.00 Mb   | 150.99MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 1.129ms       | 4.438ms  | 8.544us        | 22.784us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.099ms       | 5.372ms  | 63.363us       | 211.210us | 0 b     | 4.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn3        | 1.094ms       | 4.311ms  | 19.197us       | 51.192us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.185ms       | 9.410ms  | 19.776us       | 39.552us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   │  └── 3             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.079ms       | 5.206ms  | 100.701us      | 335.670us | 0 b     | 1.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn1        | 1.083ms       | 4.269ms  | 8.448us        | 22.528us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv2      | 1.074ms       | 5.123ms  | 94.176us       | 309.168us | 0 b     | 1.00 Mb   | 150.99MFLOPs | 147.46K    | 1    
   │  │  ├── bn2        | 1.003ms       | 3.949ms  | 8.736us        | 23.296us  | 0 b     | 1.25 Mb   | 0 FLOPs      | 256.00     | 1    
   │  │  ├── conv3      | 1.061ms       | 5.188ms  | 62.979us       | 209.930us | 0 b     | 4.00 Mb   | 67.11MFLOPs  | 65.54K     | 1    
   │  │  ├── bn3        | 1.056ms       | 4.159ms  | 20.160us       | 53.760us  | 0 b     | 5.00 Mb   | 0 FLOPs      | 1.02K      | 1    
   │  │  └── relu       | 3.059ms       | 9.045ms  | 20.064us       | 40.128us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
   ├── layer3           |               |          |                |           |         |           |              |            |      
   │  ├── 0             |               |          |                |           |         |           |              |            |      
   │  │  ├── conv1      | 1.057ms       | 5.059ms  | 123.933us      | 413.110us | 0 b     | 2.00 Mb   | 134.22MFLOPs | 131.07K    | 1    
   │  │  ├── bn1        | 1.051ms       | 4.138ms  | 13.344us       | 35.584us  | 0 b     | 2.50 Mb   | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv2      | 1.098ms       | 5.160ms  | 191.706us      | 629.885us | 0 b     | 512.00 Kb | 150.99MFLOPs | 589.82K    | 1    
   │  │  ├── bn2        | 1.139ms       | 4.496ms  | 13.056us       | 34.816us  | 0 b     | 640.00 Kb | 0 FLOPs      | 512.00     | 1    
   │  │  ├── conv3      | 1.135ms       | 5.470ms  | 66.912us       | 223.040us | 0 b     | 2.00 Mb   | 67.11MFLOPs  | 262.14K    | 1    
   │  │  ├── bn3        | 1.099ms       | 4.329ms  | 39.261us       | 104.696us | 0 b     | 2.50 Mb   | 0 FLOPs      | 2.05K      | 1    
   │  │  ├── relu       | 3.024ms       | 8.941ms  | 18.144us       | 36.288us  | 0 b     | 0 b       | 0 FLOPs      | 0          | 3    
