Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem | FLOPs       | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|----------|-------------|------------|------
VisionTransformer              |               |           |                |           |         |          |             |            |      
   ├── conv_proj               | 1.269ms       | 5.304ms   | 962.621us      | 3.194ms   | 0 b     | 18.38 Mb | 1.85GFLOPs  | 590.59K    | 1    
   ├── encoder                 |               |           |                |           |         |          |             |            |      
   │  ├── dropout              | 860.600us     | 860.600us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  ├── layers               |               |           |                |           |         |          |             |            |      
   │  │  ├── encoder_layer_0   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 950.200us     | 2.772ms   | 62.880us       | 125.760us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.134ms       | 1.134ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.118ms       | 3.293ms   | 61.440us       | 122.880us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.554ms       | 4.934ms   | 4.028ms        | 8.056ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.069ms       | 2.074ms   | 116.541us      | 155.388us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 850.400us     | 850.400us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.361ms       | 4.479ms   | 3.876ms        | 7.752ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 859.300us     | 859.300us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_1   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.095ms       | 3.217ms   | 62.019us       | 124.038us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.474ms       | 1.474ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.115ms       | 3.288ms   | 62.691us       | 125.382us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.514ms       | 4.839ms   | 4.026ms        | 8.052ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.119ms       | 2.158ms   | 111.168us      | 148.224us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 848.200us     | 848.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.364ms       | 4.460ms   | 3.883ms        | 7.765ms   | 0 b     | 10.53 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 843.200us     | 843.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_2   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.036ms       | 3.046ms   | 64.128us       | 128.256us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.446ms       | 1.446ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.060ms       | 3.118ms   | 68.064us       | 136.128us | 0 b     | 14.32 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.398ms       | 4.436ms   | 4.048ms        | 8.097ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.077ms       | 2.091ms   | 119.901us      | 159.868us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 857.400us     | 857.400us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.381ms       | 4.524ms   | 3.881ms        | 7.761ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 847.700us     | 847.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_3   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.043ms       | 3.065ms   | 61.536us       | 123.072us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.691ms       | 1.691ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.011ms       | 2.971ms   | 61.245us       | 122.490us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.394ms       | 4.500ms   | 4.021ms        | 8.042ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.014ms       | 1.986ms   | 108.666us      | 144.888us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 835.100us     | 835.100us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.394ms       | 4.639ms   | 3.880ms        | 7.760ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 855.200us     | 855.200us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_4   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.070ms       | 3.156ms   | 68.640us       | 137.280us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.696ms       | 1.696ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.074ms       | 3.161ms   | 61.437us       | 122.874us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.483ms       | 4.587ms   | 4.253ms        | 8.506ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.024ms       | 1.990ms   | 109.632us      | 146.176us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 832.500us     | 832.500us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.350ms       | 4.456ms   | 3.871ms        | 7.743ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 770.700us     | 770.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_5   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.053ms       | 3.102ms   | 64.509us       | 129.018us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.665ms       | 1.665ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.074ms       | 3.163ms   | 62.691us       | 125.382us | 0 b     | 14.32 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.413ms       | 4.528ms   | 4.032ms        | 8.065ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.094ms       | 2.128ms   | 112.125us      | 149.500us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 828.400us     | 828.400us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.387ms       | 4.528ms   | 3.875ms        | 7.749ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 766.900us     | 766.900us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_6   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.008ms       | 2.963ms   | 59.712us       | 119.424us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  ├── self_attention |               |           |                |           |         |          |             |            |      
   │  │  │  │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 590.59K    | 0    
   │  │  │  ├── dropout        | 1.411ms       | 1.411ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  ├── ln_2           | 1.047ms       | 3.081ms   | 61.053us       | 122.106us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |          |             |            |      
   │  │  │  │  ├── 0           | 2.372ms       | 4.406ms   | 4.028ms        | 8.055ms   | 0 b     | 37.94 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.064ms       | 2.070ms   | 104.247us      | 138.996us | 0 b     | 18.47 Mb | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 849.000us     | 849.000us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 2.386ms       | 4.537ms   | 3.874ms        | 7.749ms   | 0 b     | 10.23 Mb | 7.44GFLOPs  | 2.36M      | 1    
   │  │  │  │  └── 4           | 821.700us     | 821.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b      | 0 FLOPs     | 0          | 1    
   │  │  ├── encoder_layer_7   |               |           |                |           |         |          |             |            |      
   │  │  │  ├── ln_1           | 1.071ms       | 3.148ms   | 60.864us       | 121.728us | 0 b     | 13.88 Mb | 0 FLOPs     | 1.54K      | 1    
